0.01,0.579
0.02,0.629
0.03,0.637
0.04,0.636
0.05,0.633
0.06,0.629
0.07,0.626
0.08,0.623
0.09,0.619
0.1,0.617
0.11,0.614
0.12,0.611
0.13,0.609
0.14,0.607
0.15,0.605
0.16,0.603
0.17,0.601
0.18,0.6
0.19,0.598
0.2,0.597
0.21,0.595
0.22,0.594
0.23,0.593
0.24,0.592
0.25,0.591
0.26,0.59
0.27,0.589
0.28,0.589
0.29,0.588
0.3,0.588
0.31,0.587
0.32,0.587
0.33,0.587
0.34,0.586
0.35,0.586
0.36,0.586
0.37,0.586
0.38,0.586
0.39,0.586
0.4,0.586
0.41,0.586
0.42,0.586
0.43,0.586
0.44,0.586
0.45,0.587
0.46,0.587
0.47,0.587
0.48,0.588
0.49,0.588
0.5,0.589
0.51,0.589
0.52,0.59
0.53,0.59
0.54,0.591
0.55,0.592
0.56,0.592
0.57,0.593
0.58,0.594
0.59,0.595
0.6,0.596
0.61,0.598
0.62,0.599
0.63,0.601
0.64,0.603
0.65,0.605
0.66,0.607
0.67,0.609
0.68,0.611
0.69,0.613
0.7,0.615
0.71,0.615
0.72,0.615
0.73,0.614
0.74,0.614
0.75,0.613
0.76,0.613
0.77,0.612
0.78,0.612
0.79,0.611
0.8,0.611
0.81,0.617
0.82,0.624
0.83,0.63
0.84,0.637
0.85,0.643
0.86,0.649
0.87,0.656
0.88,0.662
0.89,0.669
0.9,0.675
0.91,0.68
0.92,0.694
0.93,0.714
0.94,0.734
0.95,0.754
0.96,0.774
0.97,0.794
0.98,0.814
0.99,0.834
1,0.853
1.01,0.873
1.02,0.893
1.03,0.913
1.04,0.933
1.05,0.953
1.06,0.951
1.07,0.949
1.08,0.948
1.09,0.946
1.1,0.945
1.11,0.944
1.12,0.943
1.13,0.942
1.14,0.941
1.15,0.94
1.16,0.938
1.17,0.937
1.18,0.934
1.19,0.929
1.2,0.924
1.21,0.919
1.22,0.914
1.23,0.909
1.24,0.904
1.25,0.9
1.26,0.895
1.27,0.89
1.28,0.886
1.29,0.881
1.3,0.877
1.31,0.873
1.32,0.868
1.33,0.864
1.34,0.86
1.35,0.855
1.36,0.851
1.37,0.847
1.38,0.845
1.39,0.842
1.4,0.84
1.41,0.837
1.42,0.834
1.43,0.832
1.44,0.829
1.45,0.827
1.46,0.825
1.47,0.822
1.48,0.82
1.49,0.818
1.5,0.815
