0.01,0.509
0.02,0.537
0.03,0.534
0.04,0.527
0.05,0.52
0.06,0.514
0.07,0.508
0.08,0.503
0.09,0.498
0.1,0.494
0.11,0.49
0.12,0.487
0.13,0.483
0.14,0.48
0.15,0.478
0.16,0.475
0.17,0.473
0.18,0.471
0.19,0.469
0.2,0.467
0.21,0.465
0.22,0.464
0.23,0.462
0.24,0.461
0.25,0.459
0.26,0.458
0.27,0.457
0.28,0.456
0.29,0.455
0.3,0.454
0.31,0.453
0.32,0.452
0.33,0.452
0.34,0.451
0.35,0.449
0.36,0.449
0.37,0.45
0.38,0.45
0.39,0.45
0.4,0.45
0.41,0.45
0.42,0.451
0.43,0.451
0.44,0.451
0.45,0.451
0.46,0.452
0.47,0.452
0.48,0.453
0.49,0.453
0.5,0.454
0.51,0.454
0.52,0.455
0.53,0.455
0.54,0.456
0.55,0.457
0.56,0.457
0.57,0.458
0.58,0.459
0.59,0.46
0.6,0.46
0.61,0.461
0.62,0.462
0.63,0.463
0.64,0.464
0.65,0.465
0.66,0.467
0.67,0.468
0.68,0.469
0.69,0.471
0.7,0.473
0.71,0.472
0.72,0.47
0.73,0.469
0.74,0.468
0.75,0.467
0.76,0.466
0.77,0.464
0.78,0.463
0.79,0.462
0.8,0.461
0.81,0.467
0.82,0.472
0.83,0.478
0.84,0.484
0.85,0.49
0.86,0.495
0.87,0.501
0.88,0.507
0.89,0.512
0.9,0.518
0.91,0.522
0.92,0.532
0.93,0.555
0.94,0.585
0.95,0.615
0.96,0.645
0.97,0.675
0.98,0.705
0.99,0.735
1,0.765
1.01,0.795
1.02,0.825
1.03,0.855
1.04,0.885
1.05,0.915
1.06,0.897
1.07,0.883
1.08,0.871
1.09,0.861
1.1,0.852
1.11,0.844
1.12,0.838
1.13,0.831
1.14,0.826
1.15,0.821
1.16,0.815
1.17,0.809
1.18,0.804
1.19,0.799
1.2,0.795
1.21,0.79
1.22,0.786
1.23,0.781
1.24,0.777
1.25,0.773
1.26,0.769
1.27,0.766
1.28,0.762
1.29,0.758
1.3,0.755
1.31,0.751
1.32,0.748
1.33,0.745
1.34,0.742
1.35,0.738
1.36,0.735
1.37,0.732
1.38,0.729
1.39,0.726
1.4,0.724
1.41,0.721
1.42,0.718
1.43,0.715
1.44,0.713
1.45,0.71
1.46,0.707
1.47,0.705
1.48,0.702
1.49,0.7
1.5,0.697
