rssi,snr,ax,ay,az,wx,wy,wz,mx,my,mz,temperature,p,time,timeOfWeek,timeOFWeekFracPart,gpsFix,ecefx,ecefy,ecefz,positionAcc3D,ecefvx,ecefvy,ecefvz,speedAcc,numbSat,drogueStatus
-81,25,-976.699,-82.3529,-215.686,-0.0143811,0.0633832,-0.0207727,4609.93,-3290.48,-1746.47,27.35,94110,277,592590800,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,25,-980.583,-78.4314,-219.608,-0.00692422,0.0740359,-0.00585895,4572.55,-3367.82,-1746.47,27.35,94098,276,592591000,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,25,-976.699,-86.2745,-219.608,-0.000532632,0.0751011,0.260457,4535.18,-3561.18,-1746.47,27.3375,94095,276,592591200,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-976.699,-78.4314,-227.451,-0.00585895,0.0655138,-0.0143811,4609.93,-3251.81,-1746.47,27.35,94092,277,592591600,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-968.932,-78.4314,-215.686,-0.0133158,0.0719054,-0.0133158,4609.93,-3367.82,-1746.47,27.3687,94101,276,592591800,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,26,-976.699,-74.5098,-231.373,-0.0154463,0.0687096,-0.0165116,4572.55,-3522.51,-1746.47,27.3875,94107,277,592592200,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,26,-980.583,-74.5098,-235.294,-0.00798948,0.0612527,-0.00905475,4647.3,-3251.81,-1746.47,27.3625,94095,276,592592400,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,25,-976.699,-74.5098,-223.529,-0.01012,0.0836233,-0.0186421,4684.67,-3251.81,-1746.47,27.3687,94110,276,592592600,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-968.932,-78.4314,-223.529,-0.00479369,0.066579,-0.0165116,4535.18,-3406.5,-1890.97,27.3687,94119,277,592593000,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,28,-972.816,-66.6667,-219.608,-0.0186421,0.0719054,-0.0111853,4684.67,-3367.82,-1698.31,27.3813,94101,276,592593200,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
