1.432320861816406250e+02,1.000000000000000000e+05
3.611809997558593750e+02,9.750000000000000000e+04
5.874127197265625000e+02,9.500000000000000000e+04
8.219285278320312500e+02,9.250000000000000000e+04
1.062448608398437500e+03,9.000000000000000000e+04
1.558460571289062500e+03,8.500000000000000000e+04
2.075926025390625000e+03,8.000000000000000000e+04
2.617142089843750000e+03,7.500000000000000000e+04
3.185400878906250000e+03,7.000000000000000000e+04
3.787054931640625000e+03,6.500000000000000000e+04
4.427529785156250000e+03,6.000000000000000000e+04
5.118468750000000000e+03,5.500000000000000000e+04
5.866180664062500000e+03,5.000000000000000000e+04
6.678560058593750000e+03,4.500000000000000000e+04
7.572217285156250000e+03,4.000000000000000000e+04
8.559203125000000000e+03,3.500000000000000000e+04
9.663075195312500000e+03,3.000000000000000000e+04
1.091884960937500000e+04,2.500000000000000000e+04
1.238620898437500000e+04,2.000000000000000000e+04
1.417810253906250000e+04,1.500000000000000000e+04
1.659591601562500000e+04,1.000000000000000000e+04
1.869625390625000000e+04,7.000000000000000000e+03
2.072473828125000000e+04,5.000000000000000000e+03
2.391942773437500000e+04,3.000000000000000000e+03
2.652745507812500000e+04,2.000000000000000000e+03
3.114421289062500000e+04,1.000000000000000000e+03
3.353665625000000000e+04,7.000000000000000000e+02
3.582649218750000000e+04,5.000000000000000000e+02
3.945258593750000000e+04,3.000000000000000000e+02
4.252187500000000000e+04,2.000000000000000000e+02
4.796209765625000000e+04,1.000000000000000000e+02
